year,champion,contender,champion-payroll,contender-payroll,league-total-payroll
2005,CHW,HOU,"75,228,000","76,779,022","2,191,886,898"
2006,STL,DET,"88,891,371","82,612,866","2,326,706,685"
2007,BOS,COL,"143,026,214","54,424,000","2,476,688,987"
2008,PHI,TB,"98,269,880","43,820,597","2,686,433,458"
2009,NYY,PHI,"201,449,289","113,004,048","2,655,395,194"
2010,SFG,TEX,"97,828,833","55,250,545","2,730,601,685"
2011,STL,TEX,"105,433,572","92,299,265","2,786,161,291"
2012,SFG,DET,"117,620,683","132,300,000","2,940,657,192"
2013,BOS,STL,"150,655,500","115,222,086","3,187,568,088"
2014,SFG,KCR,"154,185,878","92,034,345","3,453,960,397"
2015,KCR,NYM,"113,618,650","101,409,244","3,658,284,542"
2016,CHC,CLE,"116,654,522","86,339,067","3,937,842,897"
2017,HOU,LAD,"117,957,800","155,887,854","3,878,284,045"
2018,BOS,LAD,"235,649,368","186,138,211","4,141,041,635"
2019,WSH,HOU,"161,877,935","160,774,666","4,007,869,480"
2020,LAD,TB,"189,065,000","65,812,166","3,735,758,835"
2021,ATL,HOU,"132,458,375","176,495,417","3,825,147,026"
2022,HOU,PHI,"171,639,599","221,738,462","4,200,988,230"
2023,TEX,ARI,"183,578,160","103,763,571","4,451,414,228"
2024,LAD,NYY,"225,204,220","305,444,574","4,906,571,671"
2025,LAD,TOR,"331,013,580","243,329,047","5,075,316,630"